name,population
Viitasaari,6957
Vimpeli,3205
Virolahti,3487
Virrat,7384
Vårdö,422
Vöyri,6680
Ylitornio,4556
Ylivieska,14533
Ylivieskanseutukunta,44183
Ylä-Pirkanmaanseutukunta,25397
Ylä-Savonseutukunta,57238
Ylöjärvi,31515
Ypäjä,2509
Ähtäri,6363
Äänekoskenseutukunta,23169
Äänekoski,20265
Åboland-Turunmaanseutukunta,22636
Ålandslandsbygdsekon.reg.,14996
Ålandsskärgårdsekon.reg.,2160
